"bid","lid","aid","sid","x","z","hit1","hit2"
41,2037,0,10,-19.6138,4.70987,1,1
32,2037,0,36,-16.6316,0.0266023,1,1
37,2120,0,34,-19.0555,3.65054,1,1
38,2120,0,34,-19.2415,3.94871,1,1
40,2120,0,34,-19.2437,3.95225,1,1
32,2120,0,38,-16.7099,-0.0136085,1,1
41,2121,0,9,-20.0362,5.48382,1,1
32,2121,0,37,-16.0746,0.312492,1,1
41,2122,0,8,-19.7719,4.99957,1,1
31,2122,0,37,-15.0808,0.32,1,1
41,2123,0,7,-19.5237,4.54486,1,1
9,2123,0,9,-17.9597,5.53536,1,1
10,2123,0,35,-15.2227,2.1,1,1
31,2123,0,37,-14.0809,0.32,1,1
41,2204,0,10,-20.6929,6.68699,1,1
41,2205,0,9,-20.4352,6.21497,1,1
41,2206,0,8,-20.1828,5.75243,1,1
9,2206,0,10,-18.598,6.71444,1,1
10,2206,0,36,-15.6725,2.1,1,1
41,2207,0,7,-19.9246,5.27936,1,1
9,2207,0,9,-18.3564,6.26811,1,1
10,2207,0,36,-14.6725,2.1,1,1
41,2287,0,33,-20.552,6.42881,1,1
9,2289,0,34,-17.8022,5.24441,1,1
9,2289,0,35,-17.6012,4.87303,1,1
9,2289,0,37,-16.4792,2.80049,1,1
10,2289,0,37,-15.8985,2.1,1,1
41,2290,0,7,-20.591,6.50032,1,1
9,2290,0,9,-19.0203,7.49453,1,1
10,2290,0,37,-14.8985,2.1,1,1
41,2291,0,6,-20.2996,5.96638,1,1
9,2291,0,8,-18.7572,7.00844,1,1
10,2291,0,37,-13.8985,2.1,1,1
43,2372,0,6,-23.3162,6.94744,1,1
49,2372,0,6,-23.3105,6.95396,1,1
45,2372,0,9,-21.4951,8.17467,1,1
9,2372,0,38,-16.5609,2.95148,1,1
42,2373,0,8,-21.27,7.69999,1,1
9,2373,0,10,-19.6695,8.69375,1,1
9,2374,0,9,-19.417,8.22728,1,1
42,2458,0,6,-21.3657,7.8913,1,1
9,2458,0,8,-19.8195,8.97092,1,1
